# OpenSignals Text File Format. Version 1
# {"20:16:04:12:01:90": {"position": 0, "device": "bitalino_rev", "device name": "20:16:04:12:01:90", "device connection": "BTH20:16:04:12:01:90", "sampling rate": 100, "resolution": [4, 1, 1, 1, 1, 10, 10, 10, 10, 6, 6], "firmware version": 1281, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2025-5-21", "time": "18:52:48.446", "channels": [1, 2, 3, 4, 5, 6], "sensor": ["RAW", "RAW", "RAW", "RAW", "RAW", "RAW"], "label": ["A1", "A2", "A3", "A4", "A5", "A6"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A1", "A2", "A3", "A4", "A5", "A6"], "special": [{}, {}, {}, {}, {}, {}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	507	1022	0	517	40	4	
1	0	0	0	0	511	1022	0	531	40	4	
2	0	0	0	0	508	1022	0	531	39	4	
3	0	0	0	0	508	1023	0	508	39	4	
4	0	0	0	0	507	1022	0	516	40	4	
5	0	0	0	0	511	1022	0	483	39	4	
6	0	0	0	0	506	1022	0	485	39	4	
7	0	0	0	0	509	917	0	498	40	4	
8	0	0	0	0	507	655	0	493	40	4	
9	0	0	0	0	512	0	0	473	40	4	
10	0	0	0	0	508	0	0	486	39	4	
11	0	0	0	0	514	0	0	484	39	4	
12	0	0	0	0	504	0	0	507	40	4	
13	0	0	0	0	513	0	0	480	39	4	
14	0	0	0	0	506	0	0	478	39	4	
15	0	0	0	0	510	0	0	562	39	4	
0	0	0	0	0	505	0	0	570	40	4	
1	0	0	0	0	514	0	0	569	39	4	
2	0	0	0	0	511	0	0	542	39	4	
3	0	0	0	0	512	0	0	487	39	4	
4	0	0	0	0	505	125	0	490	40	4	
5	0	0	0	0	514	484	0	561	39	4	
6	0	0	0	0	507	1022	0	563	39	4	
7	0	0	0	0	519	1022	0	514	39	4	
8	0	0	0	0	504	1022	0	502	40	4	
9	0	0	0	0	517	1022	0	528	39	4	
10	0	0	0	0	507	1022	0	511	39	4	
11	0	0	0	0	515	1022	0	512	39	4	
12	0	0	0	0	505	1022	0	518	40	4	
13	0	0	0	0	516	1022	0	489	39	5	
14	0	0	0	0	507	1022	0	482	39	5	
15	0	0	0	0	519	1022	0	529	39	5	
0	0	0	0	0	503	1022	0	575	40	5	
1	0	0	0	0	519	894	0	533	39	5	
2	0	0	0	0	502	587	0	462	39	5	
3	0	0	0	0	519	0	0	461	39	5	
4	0	0	0	0	495	0	0	480	40	5	
5	0	0	0	0	523	0	0	542	39	5	
6	0	0	0	0	497	0	0	529	39	5	
7	0	0	0	0	520	0	0	487	39	5	
8	0	0	0	0	496	0	0	492	40	5	
9	0	0	0	0	519	0	0	544	39	5	
10	0	0	0	0	497	0	0	535	39	5	
11	0	0	0	0	519	0	0	523	40	5	
12	0	0	0	0	500	0	0	485	40	5	
13	0	0	0	0	519	0	0	507	39	5	
14	0	0	0	0	496	81	0	497	39	5	
15	0	0	0	0	519	295	0	463	39	5	
0	0	0	0	0	498	1022	0	459	40	5	
1	0	0	0	0	521	1022	0	543	39	5	
2	0	0	0	0	496	1022	0	497	39	5	
3	0	0	0	0	519	1022	0	502	39	5	
4	0	0	0	0	497	1022	0	439	40	5	
5	0	0	0	0	519	1022	0	435	39	5	
6	0	0	0	0	497	1022	0	457	39	5	
7	0	0	0	0	522	1022	0	478	39	5	
8	0	0	0	0	497	1022	0	525	40	5	
9	0	0	0	0	518	1022	0	493	39	5	
10	0	0	0	0	497	1022	0	503	39	5	
11	0	0	0	0	520	922	0	452	39	5	
12	0	0	0	0	497	688	0	463	40	5	
13	0	0	0	0	520	0	0	495	39	5	
14	0	0	0	0	496	0	0	486	39	5	
15	0	0	0	0	520	0	0	492	39	5	
0	0	0	0	0	498	0	0	495	40	5	
1	0	0	0	0	517	0	0	476	39	5	
2	0	0	0	0	496	0	0	520	39	5	
3	0	0	0	0	520	0	0	484	39	5	
4	0	0	0	0	496	0	0	480	40	5	
5	0	0	0	0	517	0	0	502	39	5	
6	0	0	0	0	498	0	0	483	39	5	
7	0	0	0	0	521	0	0	504	39	5	
8	0	0	0	0	498	83	0	505	40	5	
9	0	0	0	0	522	312	0	487	39	5	
10	0	0	0	0	498	1022	0	531	39	5	
11	0	0	0	0	519	1022	0	505	39	5	
12	0	0	0	0	497	1022	0	504	40	5	
13	0	0	0	0	520	1022	0	528	39	5	
14	0	0	0	0	498	1022	0	510	39	5	
15	0	0	0	0	524	1022	0	535	39	5	
0	0	0	0	0	497	1022	0	519	40	5	
1	0	0	0	0	519	1022	0	543	40	5	
2	0	0	0	0	499	1022	0	557	39	5	
3	0	0	0	0	521	1022	0	540	39	5	
4	0	0	0	0	497	1022	0	529	40	5	
5	0	0	0	0	521	910	0	536	39	5	
6	0	0	0	0	497	657	0	530	39	5	
7	0	0	0	0	522	0	0	546	39	5	
8	0	0	0	0	499	0	0	526	40	5	
9	0	0	0	0	520	0	0	521	39	5	
10	0	0	0	0	496	0	0	536	39	5	
11	0	0	0	0	521	0	0	514	39	5	
12	0	0	0	0	497	0	0	520	40	5	
13	0	0	0	0	521	0	0	506	39	5	
14	0	0	0	0	498	0	0	500	39	5	
15	0	0	0	0	518	0	0	513	39	5	
0	0	0	0	0	499	0	0	491	40	5	
1	0	0	0	0	520	0	0	536	39	5	
2	0	0	0	0	496	88	0	588	39	5	
3	0	0	0	0	521	312	0	574	40	5	
4	0	0	0	0	496	1022	0	534	40	5	
5	0	0	0	0	521	1022	0	478	39	5	
6	0	0	0	0	497	1022	0	487	39	5	
7	0	0	0	0	520	1022	0	505	39	5	
8	0	0	0	0	501	1022	0	540	40	5	
9	0	0	0	0	519	1022	0	547	39	5	
10	0	0	0	0	496	1022	0	473	39	4	
11	0	0	0	0	519	1022	0	467	40	4	
12	0	0	0	0	497	1022	0	500	40	5	
13	0	0	0	0	520	1022	0	478	39	4	
14	0	0	0	0	498	1022	0	508	39	5	
15	0	0	0	0	520	914	0	521	39	4	
0	0	0	0	0	497	674	0	542	40	5	
1	0	0	0	0	520	0	0	565	39	5	
2	0	0	0	0	499	0	0	543	39	5	
3	0	0	0	0	518	0	0	560	39	5	
4	0	0	0	0	496	0	0	534	40	5	
5	0	0	0	0	520	0	0	503	39	4	
6	0	0	0	0	496	0	0	531	39	5	
